Gas,NFR/CRF Group,Source,Activity,Units,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Nitrogen oxides (NOx expressed as NO2),1A1c,Upstream Oil Production - fuel combustion,Gas oil,kilotonne,16.77344341,16.61600565,19.91741787,21.96120366,23.28353568,20.0283177,20.72867164,20.20839812,20.22385959,16.82850189,15.5305837,14.93521698,15.09416445,13.28642168,12.26997665,14.00236608,11.0702044,11.12740541,13.44741813,13.45027793,15.47560613,16.37554869,18.77842252,16.79560946,17.60251967,18.21370896,19.33317606,17.40560259,17.08388838,17.92457206,18.41944723,14.3599647,11.8262745
Nitrogen oxides (NOx expressed as NO2),1A1c,Upstream Oil Production - fuel combustion,Natural gas,kilotonne,24.67467508,23.95885133,25.87935761,27.15468804,28.02610922,26.36275778,26.81839609,32.97958426,24.94211674,25.9434251,25.85682868,26.0504792,30.94350351,30.52686745,28.88357994,28.98125466,28.02297062,25.45066486,26.46945218,24.35854711,22.44189152,18.39643222,19.74326349,16.30995793,17.36107159,20.51688375,22.5588197,22.7941769,21.36251963,22.4448997,22.47568289,19.66952,20.28543
Nitrogen oxides (NOx expressed as NO2),1A1c,Oil terminal: fuel combustion,Gas oil,kilotonne,0.564440538,0.544116908,0.55781654,0.590484892,0.748688476,0.764135743,0.763716834,0.754952474,0.768626461,0.865709314,0.661171303,0.765271249,0.526534126,0.281589385,0.255080328,0.19673749,0.270836176,0.356907117,0.324814773,0.469910927,0.441919132,1.029848205,0.579548529,0.75518397,0.450639099,0.175506922,0.111737621,0.152508429,0.077720358,0.262470666,0.114137052,0.404116855,0.188418154
Nitrogen oxides (NOx expressed as NO2),1A1c,Oil terminal: fuel combustion,Natural gas,kilotonne,1.497721825,1.387764828,1.260796667,1.236985312,1.529072014,2.405271985,1.504423016,1.891987536,2.2646736,2.454891224,2.42541,2.5238748,1.720765081,1.949751495,1.904046402,1.795816034,1.489819859,1.530027678,1.520347293,1.687328735,1.425619521,1.274013101,1.212780964,0.978755852,0.957249108,0.999699038,1.018625501,0.97878799,1.109195256,1.114077562,1.201918432,1.013824761,0.998864861
Nitrogen oxides (NOx expressed as NO2),1A1c,Gas terminal: fuel combustion,Gas oil,kilotonne,0.021287888,0.023672273,0.023967687,0.027997275,0.029817922,0.032318408,0.038491577,0.039203668,0.05056153,0.496442617,0.006268205,0.01679852,0.02049208,0.0327268,0.04415492,0.022557029,0.050650727,0.021525863,0.032544632,0.046509967,0.036520588,0.034160429,0.111806571,0.057262172,0.03208508,0.068391138,0.083985931,0.05927157,0.046732115,0.024163955,0.016415885,0.023576157,0.016882638
Nitrogen oxides (NOx expressed as NO2),1A1c,Gas terminal: fuel combustion,Natural gas,kilotonne,2.529241484,2.703387893,2.425629932,2.626130325,2.726772562,5.20974871,3.258536214,4.09798962,4.905216724,5.568173701,5.74922076,5.809040629,6.094595071,5.95967933,6.653409961,8.773641616,5.22435265,3.828362561,3.666005213,3.06249206,2.841982414,2.598535764,2.243071324,2.606268642,2.972070946,2.567187049,3.459718616,2.620550652,3.026628602,2.04394832,1.098443026,1.015601248,0.957440075
Nitrogen oxides (NOx expressed as NO2),1A1c,Upstream Gas Production - fuel combustion,Gas oil,kilotonne,0.6999426,0.749398747,0.813461041,0.941858365,0.995633983,0.913974759,1.119657127,1.12764857,2.17095404,0.942507432,0.951837258,0.777668836,1.08107207,0.6836812,0.745872002,0.811647319,0.701102395,0.677499681,1.023411045,0.615579696,0.666419906,0.755501353,1.163707905,1.539113095,2.074433465,3.159348895,1.973156336,1.805874625,2.033765088,2.496394117,2.331092658,2.854679002,1.619228281
Nitrogen oxides (NOx expressed as NO2),1A1c,Upstream Gas Production - fuel combustion,Natural gas,kilotonne,6.299283094,7.05568245,7.526854638,8.715194735,7.555519518,8.614426993,8.763313653,10.77657441,8.150211199,10.7443431,9.167526361,10.52060374,16.27847542,15.16751292,16.72067327,14.08402653,13.42773939,11.99510411,11.37251638,11.39224721,12.98380978,10.34682008,6.255456159,7.55952,7.11274613,7.631179578,6.89610723,8.942409458,5.124706897,7.450750715,6.679005458,4.71002869,5.85151
Nitrogen oxides (NOx expressed as NO2),1A2a,Blast furnaces,Blast furnace gas,kilotonne,0.501892579,0.489999388,0.449671164,0.521822292,0.58374038,0.598261285,0.629090283,0.648079158,0.613564084,0.614328357,0.501509768,0.394156615,0.299313717,0.473050944,0.309209421,0.491190535,0.597811757,0.566653683,0.770009062,0.433215407,0.236139991,0.190268886,0.248257235,0.478691046,0.388714918,0.416211462,0.206209301,0.15834569,0.088467833,0.189805887,0.194247662,0.168071085,0.153129031
Nitrogen oxides (NOx expressed as NO2),1A2a,Blast furnaces,Coke oven gas,kilotonne,0.167677449,0.153075039,0.133010327,0.119452501,0.12317383,0.10174788,0.106317395,0.112105448,0.11829968,0.134726854,0.109284738,0.117646835,0.079786015,0.115366192,0.062364217,0.079200726,0.128918705,0.110787274,0.130471199,0.074332722,0.027317419,0.02987906,0.058491584,0.101916869,0.076785559,0.068920951,0.024017176,0.020178594,0.009210078,0.021667926,0.021562197,0.01541017,0.014356519
